round,grade,matchup,opposition,bowling_team,bowler_name,overs,maidens,runs,wickets,wides,no_balls
7,1st,CAR vs GEE,GEE,CAR,Connor Rutland,4,,0,26,6.50,2
7,1st,CAR vs GEE,GEE,CAR,Evan Gulbis,2.5,,0,37,13.06,0
7,1st,CAR vs GEE,GEE,CAR,Dominic Sullivan,2,,0,14,7.00,0
7,1st,CAR vs GEE,GEE,CAR,Michael Archer,2,,0,25,12.50,0
7,1st,MEL vs KIN,MEL,KIN,Luke Stow,4,,0,26,6.50,0
7,1st,MEL vs KIN,MEL,KIN,Cory Cater,4,,0,27,6.75,0
7,1st,MEL vs KIN,MEL,KIN,Thaveesh Attanayake,2,,0,12,6.00,1
7,1st,MEL vs KIN,MEL,KIN,Saad Khattak,4,,0,22,5.50,0
7,1st,MEL vs KIN,MEL,KIN,Nic Tindall,4,,0,51,12.75,0
7,1st,MEL vs KIN,MEL,KIN,William Bowering,2,,0,18,9.00,0
7,1st,MEL vs KIN,KIN,MEL,Mark Stafford,4,,0,14,3.50,2
7,1st,MEL vs KIN,KIN,MEL,Ben Sears,4,,0,22,5.50,1
7,1st,MEL vs KIN,KIN,MEL,Tom Walker,3,,0,20,6.66,3
7,1st,MEL vs KIN,KIN,MEL,Peter Hatzoglou,4,,0,28,7.00,6
7,1st,MEL vs KIN,KIN,MEL,Michael Forwood,1,,0,11,11.00,0
7,1st,MEL vs KIN,KIN,MEL,Yuvraj Singh,2.1,,0,13,6.00,0
7,1st,MEL vs KIN,KIN,MEL,Janak Prakash,1,,0,3,3.00,1
8,1st,KIN vs RIN,KIN,RIN,Matthew Fotia,2,,0,8,4.00,0
8,1st,KIN vs RIN,KIN,RIN,David King,2,,0,9,4.50,1
8,1st,KIN vs RIN,KIN,RIN,Jackson Freeman,3,,0,10,3.33,2
8,1st,KIN vs RIN,KIN,RIN,Justin Beaton,2,,0,22,11.00,0
8,1st,KIN vs RIN,KIN,RIN,Timothy Sugumar,2,,0,9,4.50,0
8,1st,KIN vs RIN,RIN,KIN,Zen Malik,0,,0,0,0.00,0
8,1st,KIN vs RIN,RIN,KIN,Luke Stow,2,,0,13,6.50,1
8,1st,KIN vs RIN,RIN,KIN,Cory Cater,2,,0,15,7.50,1
8,1st,KIN vs RIN,RIN,KIN,Saad Khattak,1.2,,0,13,9.75,0
8,1st,KIN vs RIN,RIN,KIN,Nic Tindall,1,,0,13,13.00,0
8,1st,KIN vs RIN,RIN,KIN,Vimesh Wickramasinghe,2,,0,9,4.50,0
8,1st,MEL vs RIC,MEL,RIC,Joshua Sawrey,4,,0,8,2.00,0
8,1st,MEL vs RIC,MEL,RIC,Brendan Rose,2.2,,0,10,4.28,1
8,1st,MEL vs RIC,MEL,RIC,Sam Mills,2,,0,18,9.00,0
8,1st,MEL vs RIC,MEL,RIC,Dhruval Parikh,4,,0,18,4.50,1
8,1st,MEL vs RIC,MEL,RIC,Joshua Ash,3,,0,14,4.66,1
8,1st,MEL vs RIC,RIC,MEL,Glenn Hannah,1,,0,5,5.00,0
8,1st,MEL vs RIC,RIC,MEL,Thomas Curran,3,,0,22,7.33,0
8,1st,MEL vs RIC,RIC,MEL,Jack Sullivan,2,,0,12,6.00,0
8,1st,MEL vs RIC,RIC,MEL,Thomas Wrigglesworth,1,,0,6,6.00,0
8,1st,MEL vs RIC,RIC,MEL,Rishi Desai,0.2,,0,4,12.01,0
8,1st,PRA vs CAS,PRA,CAS,Akshay Ramkumar,1,,0,8,8.00,0
8,1st,PRA vs CAS,PRA,CAS,Nathan Lambden,2.4,,0,25,9.37,2
8,1st,PRA vs CAS,PRA,CAS,Harry Hoekstra,2,,0,23,11.50,0
8,1st,PRA vs CAS,PRA,CAS,Finlay Gordon,3,,0,16,5.33,1
8,1st,PRA vs CAS,PRA,CAS,Evan Allaway,1,,0,30,30.00,0
8,1st,PRA vs CAS,CAS,PRA,Brodie Symons,1,,0,6,6.00,0
8,1st,PRA vs CAS,CAS,PRA,Lachlan Bangs,1,,0,14,14.00,1
8,1st,PRA vs CAS,CAS,PRA,Shenuka De Silva,2,,0,37,18.50,2
8,1st,PRA vs CAS,CAS,PRA,Paul Walter,2,,0,15,7.50,1
8,1st,PRA vs CAS,CAS,PRA,Pranav Menon,1,,0,7,7.00,0
8,1st,FIT vs CAM,FIT,CAM,William Walker,2,,0,13,6.50,0
8,1st,FIT vs CAM,FIT,CAM,Charles Simondson,1.4,,0,27,16.20,0
8,1st,FIT vs CAM,FIT,CAM,Tom Nelson,1,,0,4,4.00,1
8,1st,FIT vs CAM,FIT,CAM,Patrick Dooley,1,,0,5,5.00,0
8,1st,FIT vs CAM,CAM,FIT,Nicholas Fletcher,1,,0,5,5.00,0
8,1st,FIT vs CAM,CAM,FIT,Harkirat Bajwa,1,,0,3,3.00,0
8,1st,FIT vs CAM,CAM,FIT,Ejaaz Alavi,1,,0,18,18.00,0
8,1st,FIT vs CAM,CAM,FIT,Matthew Spoors,1,,0,17,17.00,0
8,1st,FIT vs CAM,CAM,FIT,Braden Taeuber,0.4,,0,8,12.01,0
9,1st,FOO vs ST,FOO,ST,Joshua Bartlett,3,,0,23,7.66,0
9,1st,FOO vs ST,FOO,ST,Luke Destito,1,,0,16,16.00,1
9,1st,FOO vs ST,FOO,ST,Will Lovell,3,,0,35,11.66,0
9,1st,FOO vs ST,FOO,ST,Matthew Hennig,3,,0,33,11.00,1
9,1st,FOO vs ST,FOO,ST,Thomas Russ,4,,0,18,4.50,0
9,1st,FOO vs ST,FOO,ST,James Seymour,3,,0,14,4.66,0
9,1st,FOO vs ST,ST,FOO,Joshua Pace,1,,0,12,12.00,0
9,1st,FOO vs ST,ST,FOO,Max Birthisel,4,,0,41,10.25,0
9,1st,FOO vs ST,ST,FOO,Jay Vine,3,,0,17,5.66,0
9,1st,FOO vs ST,ST,FOO,Liam Mason,3,,0,34,11.33,2
9,1st,FOO vs ST,ST,FOO,Bailey Toseland,4,,0,22,5.50,0
9,1st,FOO vs ST,ST,FOO,Aiman Nadeem,2,,0,14,7.00,1
9,1st,CAM vs CAS,CAM,CAS,Akshay Ramkumar,4,,0,20,5.00,0
9,1st,CAM vs CAS,CAM,CAS,Nathan Lambden,4,,0,19,4.75,0
9,1st,CAM vs CAS,CAM,CAS,Harry Hoekstra,3.1,,0,25,7.89,2
9,1st,CAM vs CAS,CAM,CAS,Muhammad Irfan,4,,0,23,5.75,1
9,1st,CAM vs CAS,CAM,CAS,Finlay Gordon,4,,0,19,4.75,3
9,1st,CAM vs CAS,CAS,CAM,William Walker,3,,0,25,8.33,0
9,1st,CAM vs CAS,CAS,CAM,Tom Nelson,2,,0,20,10.00,2
9,1st,CAM vs CAS,CAS,CAM,Jakey Pietz,3,,0,13,4.33,1
9,1st,CAM vs CAS,CAS,CAM,Hamish McKenzie,3,,0,15,5.00,0
9,1st,CAM vs CAS,CAS,CAM,Charles Simondson,4,,0,17,4.25,0
9,1st,CAM vs CAS,CAS,CAM,Coby Fitzsimmons,1.5,,0,17,9.27,0
9,1st,RIN vs MEL,RIN,MEL,Jack Sullivan,4,,0,24,6.00,2
9,1st,RIN vs MEL,RIN,MEL,Glenn Hannah,4,,0,33,8.25,1
